dataset,seed,method,valid_for_main_table,threshold,K,noise_strength,num_steps,guidance_scale,dice,iou,acc,sen,spec,auc,time_ms,fps
CHASE-DB1,42,Baseline coarse mask,YES,0.5,5,0.5,0,1.5,0.8070758581161499,0.6765525937080383,0.9778671264648438,0.8680973052978516,0.9840508699417114,0.9260740757087144,nan,nan
CHASE-DB1,42,LU-Net+RA+Diff(20),YES,0.5,5,0.5,20,1.5,0.44904032349586487,0.2895241975784302,0.95904541015625,0.3136875331401825,0.9953101873397827,0.9230892767001573,446.10820000525564,2.2416086500723793
CHASE-DB1,42,LU-Net+RA+Diff(20),YES,0.5,5,0.5,20,1.5,0.5017855167388916,0.3349223732948303,0.9606170654296875,0.3718883991241455,0.9937823414802551,0.9211620270885981,446.10820000525564,2.2416086500723793
CHASE-DB1,42,LU-Net+RA+Diff(50),YES,0.5,5,0.5,50,1.5,0.25065362453460693,0.1432841569185257,0.94970703125,0.1580985188484192,0.9941900968551636,0.8268117035120023,1113.4880500030704,0.8980787894376079
CHASE-DB1,42,LU-Net+RA+Diff(50),YES,0.5,5,0.5,50,1.5,0.2206171303987503,0.12398519366979599,0.94854736328125,0.13655221462249756,0.9942900538444519,0.8224778121021497,1113.4880500030704,0.8980787894376079
CHASE-DB1,42,AE reconstruction (GT input; sanity only),NO,0.5,5,0.5,0,1.5,0.9999201893806458,0.9998403787612915,0.9999885559082031,0.9998936057090759,0.9999958872795105,0.9999999975950865,nan,nan
CHASE-DB1,42,AE reconstruction (GT input; sanity only),NO,0.5,5,0.5,0,1.5,0.9998451471328735,0.9996903538703918,0.9999771118164062,0.999793529510498,0.999991774559021,0.9999999938342816,nan,nan
CHASE-DB1,42,Baseline coarse mask,YES,0.5,5,0.5,0,1.5,0.7815189957618713,0.6413878798484802,0.9670791625976562,0.8211853504180908,0.978347897529602,0.8997666194943313,nan,nan
CHASE-DB1,42,Baseline coarse mask,YES,0.5,5,0.5,0,1.5,0.7977084517478943,0.6634899973869324,0.9683456420898438,0.8444823026657104,0.9782304167747498,0.9113563598592019,nan,nan
CHASE-DB1,42,LU-Net+RA+Diff(20),YES,0.5,5,0.5,20,1.5,0.46568283438682556,0.30351147055625916,0.9446144104003906,0.3366141617298126,0.9915758371353149,0.9053513784761524,446.3326500263065,2.2404813986632184
CHASE-DB1,42,LU-Net+RA+Diff(20),YES,0.5,5,0.5,20,1.5,0.4494152069091797,0.28983592987060547,0.942535400390625,0.31733250617980957,0.9924290776252747,0.9136389200707693,446.3326500263065,2.2404813986632184
CHASE-DB1,42,LU-Net+RA+Diff(50),YES,0.5,5,0.5,50,1.5,0.20662647485733032,0.11521664261817932,0.9312171936035156,0.12492019683122635,0.9934949278831482,0.7954833178003902,1069.7399500058964,0.9348066322048532
CHASE-DB1,42,LU-Net+RA+Diff(50),YES,0.5,5,0.5,50,1.5,0.2253890335559845,0.12700757384300232,0.9301223754882812,0.13755548000335693,0.9933723211288452,0.8089709617371293,1069.7399500058964,0.9348066322048532
CHASE-DB1,42,AE reconstruction (GT input; sanity only),NO,0.5,5,0.5,0,1.5,0.9999379515647888,0.9998759627342224,0.9999923706054688,0.9999379515647888,0.9999959468841553,0.999999999243728,nan,nan
CHASE-DB1,42,AE reconstruction (GT input; sanity only),NO,0.5,5,0.5,0,1.5,0.9999697208404541,0.9999394416809082,0.9999961853027344,1.0,0.9999959468841553,0.9999999990141106,nan,nan
CHASE-DB1,42,Baseline coarse mask,YES,0.5,5,0.5,0,1.5,0.7871990203857422,0.6490752100944519,0.9733657836914062,0.8009178638458252,0.9846678972244263,0.8927928997791706,nan,nan
CHASE-DB1,42,Baseline coarse mask,YES,0.5,5,0.5,0,1.5,0.7797307372093201,0.6389825344085693,0.9714126586914062,0.8030027747154236,0.9827379584312439,0.8928703843023568,nan,nan
CHASE-DB1,42,LU-Net+RA+Diff(20),YES,0.5,5,0.5,20,1.5,0.4380679428577423,0.28046542406082153,0.9521141052246094,0.3034606873989105,0.9946264624595642,0.9025400048504264,443.19840002572164,2.256325834980369
